341550 341538 253:4 /firmware/gt9886_firmware_6885af.bin /vendor/firmware/gt9886_firmware_6885af.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341551 341538 253:4 /firmware/mt6631_fm_v1_coeff.bin /vendor/firmware/mt6631_fm_v1_coeff.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341552 341538 253:4 /firmware/aw87xxx_pid_59_fm_1.bin /vendor/firmware/aw87xxx_pid_59_fm_1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341553 341538 253:4 /firmware/aw8622_mid_f0_need_setup_Z_cfg.bin /vendor/firmware/aw8622_mid_f0_need_setup_Z_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341554 341538 253:4 /firmware/aw87xxx_pid_59_music_0.bin /vendor/firmware/aw87xxx_pid_59_music_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341555 341538 253:4 /firmware/st21nfc_fw7.bin /vendor/firmware/st21nfc_fw7.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341556 341538 253:4 /firmware/gt9886_cfg_gt9885v1.bin /vendor/firmware/gt9886_cfg_gt9885v1.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341557 341538 253:4 /firmware/gt1151_default_firmware2.img /vendor/firmware/gt1151_default_firmware2.img ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341558 341538 253:4 /firmware/aw87xxx_pid_59_fm_0.bin /vendor/firmware/aw87xxx_pid_59_fm_0.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341559 341538 253:4 /firmware/gt9886_firmware_6785ae.bin /vendor/firmware/gt9886_firmware_6785ae.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
341560 341538 253:4 /firmware/aw8622_mid_f0_need_setup_M_cfg.bin /vendor/firmware/aw8622_mid_f0_need_setup_M_cfg.bin ro,relatime master:9 - ext4 /dev/block/dm-4 ro,seclabel
